date,activity_type,count,reason_context,hospital_address
NA,NA,NA,NA,"Delhi, India"
2023-01-01,Ortho_appointment,13,camp,Bangalore Health Center
2023-01-01,Ortho_surgery,28,sports injury,Chennai City Clinic
2023-01-01,Pediatrics_appointment,17,routine,Kolkata Medical Hub
2023-01-01,Pediatrics_surgery,23,school health check,Chennai City Clinic
2023-01-01,Emergency_appointment,28,pandemic wave,Kolkata Medical Hub
2023-01-01,Emergency_surgery,23,accident,Kolkata Medical Hub
2023-01-01,Dermatology_appointment,17,rash outbreak,Chennai City Clinic
2023-01-01,Dermatology_surgery,25,allergy season,Chennai City Clinic
2023-01-01,ICU_appointment,32,winter spike,Chennai City Clinic
2023-01-01,ICU_surgery,15,winter spike,Chennai City Clinic
2023-01-08,Ortho_appointment,14,camp,Chennai City Clinic
2023-01-08,Ortho_surgery,9,camp,Kolkata Medical Hub
2023-01-08,Pediatrics_appointment,20,camp,Bangalore Health Center
2023-01-08,Pediatrics_surgery,23,school health check,Bangalore Health Center
2023-01-08,Emergency_appointment,25,fire outbreak,Mumbai Trauma Center
2023-01-08,Emergency_surgery,18,accident,Mumbai Trauma Center
2023-01-08,Dermatology_appointment,15,rash outbreak,Kolkata Medical Hub
2023-01-08,Dermatology_surgery,20,allergy season,Chennai City Clinic
2023-01-08,ICU_appointment,14,flu season,Mumbai Trauma Center
2023-01-08,ICU_surgery,24,flu season,Bangalore Health Center
2023-01-15,Ortho_appointment,29,routine checkup,Delhi General Hospital
2023-01-15,Ortho_surgery,22,sports injury,Mumbai Trauma Center
2023-01-15,Pediatrics_appointment,16,routine,Chennai City Clinic
2023-01-15,Pediatrics_surgery,24,school health check,Mumbai Trauma Center
2023-01-15,Emergency_appointment,18,pandemic wave,Bangalore Health Center
2023-01-15,Emergency_surgery,13,accident,Kolkata Medical Hub
2023-01-15,Dermatology_appointment,18,rash outbreak,Mumbai Trauma Center
2023-01-15,Dermatology_surgery,17,skin camp,Delhi General Hospital
2023-01-15,ICU_appointment,21,flu season,Bangalore Health Center
2023-01-15,ICU_surgery,26,winter spike,Delhi General Hospital
2023-01-22,Ortho_appointment,19,routine checkup,Chennai City Clinic
2023-01-22,Ortho_surgery,13,sports injury,Bangalore Health Center
2023-01-22,Pediatrics_appointment,20,camp,Kolkata Medical Hub
2023-01-22,Pediatrics_surgery,11,routine,Delhi General Hospital
2023-01-22,Emergency_appointment,30,pandemic wave,Kolkata Medical Hub
2023-01-22,Emergency_surgery,33,accident,Kolkata Medical Hub
2023-01-22,Dermatology_appointment,11,routine,Delhi General Hospital
2023-01-22,Dermatology_surgery,31,allergy season,Bangalore Health Center
2023-01-22,ICU_appointment,27,heat wave,Chennai City Clinic
2023-01-22,ICU_surgery,13,winter spike,Kolkata Medical Hub
2023-01-29,Ortho_appointment,33,routine checkup,Chennai City Clinic
2023-01-29,Ortho_surgery,12,routine checkup,Bangalore Health Center
2023-01-29,Pediatrics_appointment,23,camp,Bangalore Health Center
2023-01-29,Pediatrics_surgery,28,camp,Delhi General Hospital
2023-01-29,Emergency_appointment,20,accident,Kolkata Medical Hub
2023-01-29,Emergency_surgery,20,accident,Bangalore Health Center
2023-01-29,Dermatology_appointment,28,routine,Kolkata Medical Hub
2023-01-29,Dermatology_surgery,15,skin camp,Kolkata Medical Hub
2023-01-29,ICU_appointment,24,heat wave,Delhi General Hospital
2023-01-29,ICU_surgery,17,heat wave,Chennai City Clinic
2023-02-05,Ortho_appointment,28,knee surgery season,Delhi General Hospital
2023-02-05,Ortho_surgery,12,sports injury,Kolkata Medical Hub
2023-02-05,Pediatrics_appointment,11,routine,Mumbai Trauma Center
2023-02-05,Pediatrics_surgery,31,routine,Chennai City Clinic
2023-02-05,Emergency_appointment,23,fire outbreak,Delhi General Hospital
2023-02-05,Emergency_surgery,11,fire outbreak,Delhi General Hospital
2023-02-05,Dermatology_appointment,14,skin camp,Chennai City Clinic
2023-02-05,Dermatology_surgery,20,allergy season,Mumbai Trauma Center
2023-02-05,ICU_appointment,15,flu season,Mumbai Trauma Center
2023-02-05,ICU_surgery,26,respiratory issues,Bangalore Health Center
2023-02-12,Ortho_appointment,25,camp,Delhi General Hospital
2023-02-12,Ortho_surgery,28,camp,Kolkata Medical Hub
2023-02-12,Pediatrics_appointment,18,routine,Mumbai Trauma Center
2023-02-12,Pediatrics_surgery,15,school health check,Delhi General Hospital
2023-02-12,Emergency_appointment,25,fire outbreak,Mumbai Trauma Center
2023-02-12,Emergency_surgery,27,pandemic wave,Delhi General Hospital
2023-02-12,Dermatology_appointment,20,skin camp,Bangalore Health Center
2023-02-12,Dermatology_surgery,29,routine,Bangalore Health Center
2023-02-12,ICU_appointment,16,winter spike,Bangalore Health Center
2023-02-12,ICU_surgery,31,winter spike,Mumbai Trauma Center
2023-02-19,Ortho_appointment,18,knee surgery season,Bangalore Health Center
2023-02-19,Ortho_surgery,25,sports injury,Mumbai Trauma Center
2023-02-19,Pediatrics_appointment,11,flu season,Bangalore Health Center
2023-02-19,Pediatrics_surgery,20,flu season,Delhi General Hospital
2023-02-19,Emergency_appointment,33,unknown,Kolkata Medical Hub
2023-02-19,Emergency_surgery,25,accident,Chennai City Clinic
2023-02-19,Dermatology_appointment,25,rash outbreak,Delhi General Hospital
2023-02-19,Dermatology_surgery,13,routine,Kolkata Medical Hub
2023-02-19,ICU_appointment,23,heat wave,Chennai City Clinic
2023-02-19,ICU_surgery,12,winter spike,Chennai City Clinic
2023-02-26,Ortho_appointment,31,routine checkup,Mumbai Trauma Center
2023-02-26,Ortho_surgery,15,camp,Mumbai Trauma Center
2023-02-26,Pediatrics_appointment,21,camp,Chennai City Clinic
2023-02-26,Pediatrics_surgery,16,routine,Delhi General Hospital
2023-02-26,Emergency_appointment,23,pandemic wave,Delhi General Hospital
2023-02-26,Emergency_surgery,18,unknown,Delhi General Hospital
2023-02-26,Dermatology_appointment,17,rash outbreak,Mumbai Trauma Center
2023-02-26,Dermatology_surgery,16,skin camp,Kolkata Medical Hub
2023-02-26,ICU_appointment,26,winter spike,Delhi General Hospital
2023-02-26,ICU_surgery,11,respiratory issues,Delhi General Hospital
2023-03-05,Ortho_appointment,29,sports injury,Delhi General Hospital
2023-03-05,Ortho_surgery,18,camp,Kolkata Medical Hub
2023-03-05,Pediatrics_appointment,24,camp,Bangalore Health Center
2023-03-05,Pediatrics_surgery,29,routine,Kolkata Medical Hub
2023-03-05,Emergency_appointment,37,pandemic wave,Delhi General Hospital
2023-03-05,Emergency_surgery,29,accident,Delhi General Hospital
2023-03-05,Dermatology_appointment,26,rash outbreak,Delhi General Hospital
2023-03-05,Dermatology_surgery,18,routine,Bangalore Health Center
2023-03-05,ICU_appointment,30,flu season,Kolkata Medical Hub
2023-03-05,ICU_surgery,28,respiratory issues,Bangalore Health Center
2023-03-12,Ortho_appointment,32,camp,Chennai City Clinic
2023-03-12,Ortho_surgery,31,routine checkup,Bangalore Health Center
2023-03-12,Pediatrics_appointment,11,school health check,Bangalore Health Center
2023-03-12,Pediatrics_surgery,25,routine,Chennai City Clinic
2023-03-12,Emergency_appointment,32,fire outbreak,Bangalore Health Center
2023-03-12,Emergency_surgery,23,fire outbreak,Chennai City Clinic
2023-03-12,Dermatology_appointment,29,routine,Chennai City Clinic
2023-03-12,Dermatology_surgery,23,skin camp,Delhi General Hospital
2023-03-12,ICU_appointment,27,flu season,Delhi General Hospital
2023-03-12,ICU_surgery,14,winter spike,Kolkata Medical Hub
2023-03-19,Ortho_appointment,26,knee surgery season,Kolkata Medical Hub
2023-03-19,Ortho_surgery,25,sports injury,Kolkata Medical Hub
2023-03-19,Pediatrics_appointment,20,flu season,Chennai City Clinic
2023-03-19,Pediatrics_surgery,31,camp,Mumbai Trauma Center
2023-03-19,Emergency_appointment,21,pandemic wave,Delhi General Hospital
2023-03-19,Emergency_surgery,16,accident,Chennai City Clinic
2023-03-19,Dermatology_appointment,19,rash outbreak,Kolkata Medical Hub
2023-03-19,Dermatology_surgery,15,skin camp,Delhi General Hospital
2023-03-19,ICU_appointment,30,respiratory issues,Kolkata Medical Hub
2023-03-19,ICU_surgery,19,winter spike,Kolkata Medical Hub
2023-03-26,Ortho_appointment,34,knee surgery season,Kolkata Medical Hub
2023-03-26,Ortho_surgery,14,knee surgery season,Delhi General Hospital
2023-03-26,Pediatrics_appointment,25,school health check,Chennai City Clinic
2023-03-26,Pediatrics_surgery,23,flu season,Mumbai Trauma Center
2023-03-26,Emergency_appointment,31,pandemic wave,Kolkata Medical Hub
2023-03-26,Emergency_surgery,8,pandemic wave,Bangalore Health Center
2023-03-26,Dermatology_appointment,16,allergy season,Mumbai Trauma Center
2023-03-26,Dermatology_surgery,31,skin camp,Mumbai Trauma Center
2023-03-26,ICU_appointment,31,flu season,Mumbai Trauma Center
2023-03-26,ICU_surgery,22,winter spike,Kolkata Medical Hub
2023-04-02,Ortho_appointment,34,routine checkup,Delhi General Hospital
2023-04-02,Ortho_surgery,26,knee surgery season,Delhi General Hospital
2023-04-02,Pediatrics_appointment,28,flu season,Delhi General Hospital
2023-04-02,Pediatrics_surgery,28,camp,Chennai City Clinic
2023-04-02,Emergency_appointment,27,fire outbreak,Chennai City Clinic
2023-04-02,Emergency_surgery,24,pandemic wave,Chennai City Clinic
2023-04-02,Dermatology_appointment,19,rash outbreak,Delhi General Hospital
2023-04-02,Dermatology_surgery,24,skin camp,Mumbai Trauma Center
2023-04-02,ICU_appointment,30,heat wave,Chennai City Clinic
